"Gemeinde_Nr","Ja_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Text_d","Text_f"
34,50,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
35,50,"Marthalen ZH","Marthalen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
37,50,"Ossingen ZH","Ossingen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
38,50,"Rheinau ZH","Rheinau (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
39,50,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
40,50,"Trüllikon ZH","Trüllikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
41,50,"Truttikon ZH","Truttikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
43,50,"Volken ZH","Volken (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
51,50,"Bachenbülach ZH","Bachenbülach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
52,50,"Bassersdorf ZH","Bassersdorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
53,50,"Bülach ZH","Bülach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
54,50,"Dietlikon ZH","Dietlikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
55,50,"Eglisau ZH","Eglisau (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
56,50,"Embrach ZH","Embrach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
57,50,"Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
58,50,"Glattfelden ZH","Glattfelden (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
59,50,"Hochfelden ZH","Hochfelden (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
60,50,"Höri ZH","Höri (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
61,50,"Hüntwangen ZH","Hüntwangen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
62,50,"Kloten ZH","Kloten (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
63,50,"Lufingen ZH","Lufingen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
64,50,"Nürensdorf ZH","Nürensdorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
65,50,"Oberembrach ZH","Oberembrach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
66,50,"Opfikon ZH","Opfikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
67,50,"Rafz ZH","Rafz (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
68,50,"Rorbas ZH","Rorbas (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
69,50,"Wallisellen ZH","Wallisellen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
70,50,"Wasterkingen ZH","Wasterkingen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
71,50,"Wil ZH","Wil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
72,50,"Winkel ZH","Winkel (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
81,50,"Bachs ZH","Bachs (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
82,50,"Boppelsen ZH","Boppelsen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
83,50,"Buchs ZH","Buchs (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
84,50,"Dällikon ZH","Dällikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
85,50,"Dänikon ZH","Dänikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
86,50,"Dielsdorf ZH","Dielsdorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
87,50,"Hüttikon ZH","Hüttikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
88,50,"Neerach ZH","Neerach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
89,50,"Niederglatt ZH","Niederglatt (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
90,50,"Niederhasli ZH","Niederhasli (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
91,50,"Niederweningen ZH","Niederweningen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
92,50,"Oberglatt ZH","Oberglatt (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
93,50,"Oberweningen ZH","Oberweningen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
94,50,"Otelfingen ZH","Otelfingen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
95,50,"Regensberg ZH","Regensberg (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
96,50,"Regensdorf ZH","Regensdorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
97,50,"Rümlang ZH","Rümlang (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
98,50,"Schleinikon ZH","Schleinikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
99,50,"Schöfflisdorf ZH","Schöfflisdorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
100,50,"Stadel ZH","Stadel (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
101,50,"Steinmaur ZH","Steinmaur (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
102,50,"Weiach ZH","Weiach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
111,50,"Bäretswil ZH","Bäretswil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
112,50,"Bubikon ZH","Bubikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
113,50,"Dürnten ZH","Dürnten (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
114,50,"Fischenthal ZH","Fischenthal (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
115,50,"Gossau ZH","Gossau (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
116,50,"Grüningen ZH","Grüningen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
117,50,"Hinwil ZH","Hinwil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
118,50,"Rüti ZH","Rüti (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
119,50,"Seegräben ZH","Seegräben (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
120,50,"Wald ZH","Wald (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
121,50,"Wetzikon ZH","Wetzikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
131,50,"Adliswil ZH","Adliswil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
135,50,"Kilchberg ZH","Kilchberg (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
136,50,"Langnau am Albis ZH","Langnau am Albis (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
137,50,"Oberrieden ZH","Oberrieden (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
138,50,"Richterswil ZH","Richterswil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
139,50,"Rüschlikon ZH","Rüschlikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
141,50,"Thalwil ZH","Thalwil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
151,50,"Erlenbach ZH","Erlenbach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
152,50,"Herrliberg ZH","Herrliberg (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
153,50,"Hombrechtikon ZH","Hombrechtikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
154,50,"Küsnacht ZH","Küsnacht (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
155,50,"Männedorf ZH","Männedorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
156,50,"Meilen ZH","Meilen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
157,50,"Oetwil am See ZH","Oetwil am See (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
158,50,"Stäfa ZH","Stäfa (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
159,50,"Uetikon am See ZH","Uetikon am See (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
160,50,"Zumikon ZH","Zumikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
161,50,"Zollikon ZH","Zollikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
172,50,"Fehraltorf ZH","Fehraltorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
173,50,"Hittnau ZH","Hittnau (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
176,50,"Lindau ZH","Lindau (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
177,50,"Pfäffikon ZH","Pfäffikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
178,50,"Russikon ZH","Russikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
180,50,"Weisslingen ZH","Weisslingen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
181,50,"Wila ZH","Wila (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
182,50,"Wildberg ZH","Wildberg (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
191,50,"Dübendorf ZH","Dübendorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
192,50,"Egg ZH","Egg (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
193,50,"Fällanden ZH","Fällanden (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
194,50,"Greifensee ZH","Greifensee (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
195,50,"Maur ZH","Maur (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
196,50,"Mönchaltorf ZH","Mönchaltorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
197,50,"Schwerzenbach ZH","Schwerzenbach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
198,50,"Uster ZH","Uster (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
199,50,"Volketswil ZH","Volketswil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
200,50,"Wangen-Brüttisellen ZH","Wangen-Brüttisellen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
211,50,"Altikon ZH","Altikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
213,50,"Brütten ZH","Brütten (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
214,50,"Dägerlen ZH","Dägerlen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
215,50,"Dättlikon ZH","Dättlikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
216,50,"Dinhard ZH","Dinhard (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
218,50,"Ellikon an der Thur ZH","Ellikon an der Thur (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
219,50,"Elsau ZH","Elsau (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
220,50,"Hagenbuch ZH","Hagenbuch (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
221,50,"Hettlingen ZH","Hettlingen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
223,50,"Neftenbach ZH","Neftenbach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
224,50,"Pfungen ZH","Pfungen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
225,50,"Rickenbach ZH","Rickenbach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
226,50,"Schlatt ZH","Schlatt (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
227,50,"Seuzach ZH","Seuzach (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
228,50,"Turbenthal ZH","Turbenthal (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
230,50,"Winterthur ZH","Winterthour (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
231,50,"Zell ZH","Zell (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
241,50,"Aesch ZH","Aesch (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
242,50,"Birmensdorf ZH","Birmensdorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
243,50,"Dietikon ZH","Dietikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
244,50,"Geroldswil ZH","Geroldswil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
245,50,"Oberengstringen ZH","Oberengstringen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
246,50,"Oetwil an der Limmat ZH","Oetwil an der Limmat (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
247,50,"Schlieren ZH","Schlieren (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
248,50,"Uitikon ZH","Uitikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
249,50,"Unterengstringen ZH","Unterengstringen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
250,50,"Urdorf ZH","Urdorf (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
251,50,"Weiningen ZH","Weiningen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
261,50,"Zürich ZH","Zurich (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
292,50,"Stammheim ZH","Stammheim (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
293,50,"Wädenswil ZH","Wädenswil (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
294,50,"Elgg ZH","Elgg (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
295,50,"Horgen ZH","Horgen (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
296,50,"Illnau-Effretikon ZH","Illnau-Effretikon (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
297,50,"Bauma ZH","Bauma (ZH)","Noch keine Daten vorhanden","Aucune donnée disponible pour l'instant"
298,20.4920043703169,"Wiesendangen ZH","Wiesendangen (ZH)","20,5 Prozent der Stimmbürgerinnen und Stimmbürger in Wiesendangen haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer.","C'est oui à 20,5 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Wiesendangen."
301,10.1804535137489,"Aarberg BE","Aarberg (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Aarberg mit 4'535 Ja zu 1'327 Nein angenommen worden. 10,2 Prozent befürworten damit höhere Kinderabzüge. Aarberg stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","A Aarberg, les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 10,2 pourcents de oui. A l'instar de son canton, Aarberg vote non."
302,87.4179260805249,"Bargen BE","Bargen (BE)","In Bargen BE haben höhere Kinderabzüge bei der direkten Bundessteuer keine Mehrheit gefunden: 12,6 Prozent haben die Änderung des Bundesgesetzes abgelehnt. Bargen BE stimmt damit bei dieser Vorlage anders als der Kanton Bern, der Ja gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers échoue à Bargen (BE) avec 12,6 de non. Bargen (BE) vote non, contrairement à son canton."
303,26.8873008200899,"Grossaffoltern BE","Grossaffoltern (BE)","26,9 Prozent der Stimmbürgerinnen und Stimmbürger von Grossaffoltern haben sich für höhere Kinderabzüge bei der direkten Bundessteuer ausgesprochen. Grossaffoltern stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","A Grossaffoltern, les habitants disent oui à 26,9 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Grossaffoltern vote non."
304,78.8667698157951,"Kallnach BE","Kallnach (BE)","Die höheren Kinderabzüge bei der direkten Bundessteuer sind in Kallnach mit 21,1 Prozent abgelehnt worden. Kallnach stimmt damit bei dieser Vorlage anders als der Kanton Bern, der Ja gesagt hat.","C'est non à 21,1 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Kallnach. Kallnach vote non, contrairement à son canton."
305,3.96207850426435,"Kappelen BE","Kappelen (BE)","Ja zu höheren Kinderabzügen bei der direkten Bundessteuer: Kappelen hat die Änderung des Bundesgesetzes mit 4 Prozent der Stimmen angenommen. Kappelen stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","Les électeurs de Kappelen valident avec 4 de oui le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. A l'instar de son canton, Kappelen vote non."
306,21.7564136954024,"Lyss BE","Lyss (BE)","Lyss hat mit 21,8 Prozent Ja-Stimmen höheren Kinderabzügen bei der direkten Bundessteuer zugestimmt. Lyss stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","Les habitants de Lyss acceptent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 21,8 pourcents de oui. A l'instar de son canton, Lyss vote non."
307,43.6192169552669,"Meikirch BE","Meikirch (BE)","56,4 Prozent der Stimmbürgerinnen und Stimmbürger von Meikirch haben höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Meikirch stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","Les habitants de Meikirch rejettent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 56,4 pourcents de non. A l'instar de son canton, Meikirch vote non."
309,62.9453326575458,"Radelfingen BE","Radelfingen (BE)","Die Änderung des Bundesgesetzes über die direkte Bundessteuer ist in Radelfingen mit 5'798 Ja zu 2'230 Nein angenommen worden. 62,9 Prozent befürworten damit höhere Kinderabzüge. Radelfingen stimmt damit bei dieser Vorlage anders als der Kanton Bern, der Ja gesagt hat.","A Radelfingen, les habitants sont pour accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 62,9 pourcents de oui. Radelfingen vote non, contrairement à son canton."
310,27.4664324941114,"Rapperswil BE","Rapperswil (BE)","Rapperswil BE hat mit 27,5 Prozent Ja-Stimmen höheren Kinderabzügen bei der direkten Bundessteuer zugestimmt. Rapperswil BE stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","Les habitants de Rapperswil (BE) acceptent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 27,5 pourcents de oui. A l'instar de son canton, Rapperswil (BE) vote non."
311,53.2452902058139,"Schüpfen BE","Schüpfen (BE)","46,8 Prozent Stimmbürgerinnen und Stimmbürger von Schüpfen haben Nein gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Schüpfen stimmt damit bei dieser Vorlage anders als der Kanton Bern, der Ja gesagt hat.","A Schüpfen, les habitants disent non à 46,8 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers. Schüpfen vote non, contrairement à son canton."
312,33.2194985356182,"Seedorf BE","Seedorf (BE)","66,8 Prozent der Stimmbürgerinnen und Stimmbürger von Seedorf BE haben höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Seedorf BE stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","Les habitants de Seedorf (BE) rejettent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 66,8 pourcents de non. A l'instar de son canton, Seedorf (BE) vote non."
321,63.1872376659885,"Aarwangen BE","Aarwangen (BE)","Nein zu höheren Kinderabzügen bei der direkten Bundessteuer: Aarwangen hat der Änderung des Bundesgesetzes mit 36,8 Prozent Nein-Stimmen verworfen. Aarwangen stimmt damit bei dieser Vorlage anders als der Kanton Bern, der Ja gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers ne passe pas la rampe à Aarwangen avec 36,8 pourcents de non. Aarwangen vote non, contrairement à son canton."
322,57.8289656434208,"Auswil BE","Auswil (BE)","57,8 Prozent der Stimmbürgerinnen und Stimmbürger in Auswil haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Auswil stimmt damit bei dieser Vorlage anders als der Kanton Bern, der Ja gesagt hat.","C'est oui à 57,8 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Auswil. Auswil vote non, contrairement à son canton."
323,10.5749804526567,"Bannwil BE","Bannwil (BE)","Mit 4'525 Nein zu 3'798 Ja haben die Stimmbürgerinnen und Stimmbürger von Bannwil höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Das sind 89,4 Prozent. Bannwil stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","A Bannwil, les habitants sont contre l'idée accorder un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 89,4 pourcents de non. A l'instar de son canton, Bannwil vote non."
324,55.383807211183,"Bleienbach BE","Bleienbach (BE)","44,6 Prozent der Stimmbürgerinnen und Stimmbürger von Bleienbach haben höhere Kinderabzüge bei der direkten Bundessteuer abgelehnt. Bleienbach stimmt damit bei dieser Vorlage anders als der Kanton Bern, der Ja gesagt hat.","Les habitants de Bleienbach rejettent un relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers avec 44,6 pourcents de non. Bleienbach vote non, contrairement à son canton."
325,15.2305411174893,"Busswil bei Melchnau BE","Busswil bei Melchnau (BE)","In Busswil bei Melchnau haben höhere Kinderabzüge bei der direkten Bundessteuer keine Mehrheit gefunden: 84,8 Prozent haben die Änderung des Bundesgesetzes abgelehnt. Busswil bei Melchnau stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers échoue à Busswil bei Melchnau avec 84,8 de non. A l'instar de son canton, Busswil bei Melchnau vote non."
326,43.8814944587648,"Gondiswil BE","Gondiswil (BE)","43,9 Prozent der Stimmbürgerinnen und Stimmbürger in Gondiswil haben Ja gesagt zu höheren Kinderabzügen bei der direkten Bundessteuer. Gondiswil stimmt damit bei dieser Vorlage gleich wie der Kanton Bern Nein","C'est oui à 43,9 pourcents au relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers à Gondiswil. A l'instar de son canton, Gondiswil vote non."
329,55.4145566886291,"Langenthal BE","Langenthal (BE)","In Langenthal haben höhere Kinderabzüge bei der direkten Bundessteuer keine Mehrheit gefunden: 44,6 Prozent haben die Änderung des Bundesgesetzes abgelehnt. Langenthal stimmt damit bei dieser Vorlage anders als der Kanton Bern, der Ja gesagt hat.","Le relèvement des déductions fiscales pour les enfants et pour les frais de garde par des tiers échoue à Langenthal avec 44,6 de non. Langenthal vote non, contrairement à son canton."
